frame_idx,class,x1,y1,x2,y2,confidence
3000,player,663.4,464.1,722.5,599.3,0.588
3000,player,1041.6,262.7,1087.9,376.0,0.586
3000,player,1340.3,601.0,1452.8,806.7,0.581
3000,player,1124.9,653.5,1230.0,817.6,0.571
3000,player,427.1,505.5,504.8,676.6,0.54
3000,player,1315.4,463.3,1397.8,591.1,0.539
3000,player,1078.9,778.2,1189.0,979.0,0.488
3000,player,925.0,514.8,970.2,613.1,0.479
3000,player,953.1,969.8,1005.7,1079.0,0.418
3000,player,537.2,701.0,626.9,916.0,0.411
3000,player,1153.3,402.5,1226.0,546.2,0.395
3000,player,1154.3,408.8,1219.0,510.1,0.361
3000,player,1344.0,464.7,1394.9,588.4,0.357
3000,player,886.1,776.1,945.6,987.3,0.337
3000,player,1285.7,771.6,1406.2,947.0,0.314
3000,player,1120.9,652.8,1226.9,876.0,0.293
3000,player,903.0,669.9,962.4,799.8,0.284
3000,player,1283.2,603.0,1452.5,947.0,0.267
3000,player,532.2,703.0,605.0,912.6,0.218
3000,player,672.0,556.1,712.9,619.5,0.213
3000,player,536.7,699.7,663.8,918.5,0.204
3000,player,884.0,770.8,943.6,916.2,0.153
3000,player,438.0,533.8,498.7,678.6,0.136
3000,player,922.2,513.7,984.7,620.8,0.132
3000,player,909.5,639.6,966.1,788.4,0.127
3000,player,1115.2,775.7,1186.5,882.3,0.121
3000,player,1141.3,505.4,1182.7,558.1,0.107
3000,player,1146.3,664.2,1225.4,782.2,0.104
3000,ball,1310.2,30.2,1344.6,66.7,0.768
3001,player,666.7,466.0,724.9,605.8,0.609
3001,player,537.3,697.2,651.1,916.6,0.588
3001,player,1316.8,464.0,1396.3,598.0,0.586
3001,player,1041.5,262.7,1087.9,376.2,0.578
3001,player,425.1,504.3,505.7,679.5,0.559
3001,player,1355.7,602.9,1458.2,801.0,0.522
3001,player,1287.9,763.9,1408.9,946.0,0.518
3001,player,1154.8,401.4,1228.0,550.8,0.403
3001,player,955.8,969.6,1001.9,1078.9,0.401
3001,player,1345.6,465.3,1394.8,592.1,0.333
3001,player,1094.5,811.1,1174.1,943.5,0.323
3001,player,927.2,513.0,972.3,614.2,0.322
3001,player,1135.9,655.0,1230.1,789.2,0.312
3001,player,887.5,776.5,944.8,987.6,0.302
3001,player,1083.0,780.3,1186.6,978.2,0.261
3001,player,909.7,666.6,963.2,791.7,0.246
3001,player,1155.2,410.1,1218.4,519.3,0.24
3001,player,1139.5,671.2,1216.9,799.1,0.225
3001,player,532.7,701.4,614.1,912.6,0.196
3001,player,1134.0,677.3,1197.6,838.4,0.176
3001,player,667.8,549.9,724.3,618.8,0.143
3001,player,1150.9,674.1,1221.2,780.1,0.137
3001,player,886.0,772.3,943.1,915.4,0.133
3001,player,1391.3,606.5,1457.9,719.7,0.132
3001,player,1158.3,655.5,1226.2,773.4,0.132
3001,player,924.5,512.9,988.3,666.9,0.105
3001,ball,1315.5,10.4,1354.1,51.5,0.655
3001,ball,1178.7,404.3,1204.5,428.3,0.198
3002,player,668.9,467.2,728.7,617.9,0.742
3002,player,549.7,694.9,653.6,918.5,0.595
3002,player,1041.6,262.8,1087.8,375.7,0.579
3002,player,1157.6,401.0,1215.4,552.1,0.578
3002,player,1131.6,650.0,1229.8,818.6,0.554
3002,player,1315.6,465.0,1395.4,601.3,0.545
3002,player,426.7,505.8,505.4,682.4,0.52
3002,player,1076.4,791.5,1203.7,976.6,0.494
3002,player,933.2,509.1,977.0,613.1,0.491
3002,player,953.3,969.4,1005.7,1079.2,0.426
3002,player,888.0,776.6,946.7,987.4,0.413
3002,player,913.7,666.8,960.8,777.1,0.319
3002,player,1146.3,662.6,1225.7,797.9,0.303
3002,player,1334.7,465.2,1393.8,592.2,0.279
3002,player,1357.9,607.9,1458.7,775.0,0.263
3002,player,1287.3,607.1,1463.4,940.3,0.261
3002,player,1160.2,401.0,1218.1,509.4,0.256
3002,player,1102.6,812.0,1201.6,956.0,0.246
3002,player,1291.2,739.5,1407.2,939.4,0.184
3002,player,548.6,697.3,614.1,910.9,0.175
3002,player,888.6,775.5,943.8,914.7,0.145
3003,player,1124.1,646.6,1230.1,831.4,0.811
3003,player,671.3,466.8,733.7,622.2,0.688
3003,player,1161.6,397.9,1212.9,533.6,0.618
3003,player,552.8,690.1,654.9,916.9,0.601
3003,player,1041.6,262.9,1087.7,373.7,0.571
3003,player,887.2,777.7,956.9,992.8,0.57
3003,player,426.9,505.7,505.3,681.9,0.526
3003,player,1320.0,467.8,1396.2,610.6,0.517
3003,player,1289.8,608.6,1468.9,939.4,0.499
3003,player,1069.2,828.2,1219.3,979.6,0.466
3003,player,912.0,631.3,968.3,771.4,0.46
3003,player,934.5,502.6,987.4,629.7,0.447
3003,player,953.3,969.1,1005.6,1079.2,0.416
3003,player,1361.3,608.9,1463.3,766.4,0.151
3003,player,1303.2,760.7,1414.3,938.5,0.125
3003,player,1324.5,610.7,1462.8,775.3,0.116
3003,player,551.1,694.9,612.5,852.1,0.108
3003,player,964.8,607.3,1001.2,666.2,0.1
3004,player,1127.1,645.5,1230.4,833.2,0.782
3004,player,554.2,686.5,652.7,915.6,0.658
3004,player,1165.5,395.6,1218.8,516.4,0.621
3004,player,1321.9,471.5,1397.2,614.6,0.56
3004,player,1041.5,262.8,1087.7,373.0,0.55
3004,player,1070.7,834.3,1221.2,978.5,0.497
3004,player,425.4,505.8,505.5,680.4,0.457
3004,player,887.7,776.6,954.0,992.7,0.436
3004,player,953.8,968.5,1005.8,1079.3,0.399
3004,player,1368.2,609.5,1465.6,766.3,0.397
3004,player,674.4,468.1,734.3,621.7,0.383
3004,player,913.6,637.3,965.6,763.1,0.357
3004,player,940.2,497.3,992.5,618.0,0.345
3004,player,1290.7,610.4,1469.8,931.7,0.291
3004,player,888.5,774.1,947.2,913.3,0.278
3004,player,677.1,467.1,730.2,572.6,0.232
3004,player,941.0,498.1,997.2,659.6,0.23
3004,player,1293.9,746.7,1423.7,929.9,0.199
3004,player,1307.7,756.3,1413.9,913.0,0.198
3004,player,1326.7,472.1,1392.2,560.5,0.195
3004,player,1108.5,833.0,1223.4,960.3,0.136
3004,player,553.4,688.8,623.2,874.5,0.115
3004,player,890.7,873.1,964.0,1001.1,0.106
3005,player,1122.9,643.2,1232.6,835.8,0.767
3005,player,558.0,684.8,655.4,913.8,0.689
3005,player,1166.1,396.0,1215.0,524.7,0.652
3005,player,887.0,776.8,957.3,993.6,0.561
3005,player,1041.6,263.2,1087.4,372.0,0.518
3005,player,1328.5,473.8,1398.1,612.1,0.504
3005,player,678.2,466.9,737.7,624.7,0.49
3005,player,1374.9,608.4,1469.7,761.6,0.461
3005,player,1072.5,848.6,1241.9,976.5,0.422
3005,player,1286.9,755.2,1423.6,943.8,0.422
3005,player,425.6,505.2,506.1,683.2,0.421
3005,player,954.0,968.3,1005.5,1079.1,0.406
3005,player,944.4,492.8,987.6,586.3,0.327
3005,player,944.0,492.4,997.8,621.6,0.322
3005,player,912.4,617.4,967.6,756.3,0.273
3005,player,1407.0,608.0,1469.4,749.2,0.239
3005,player,1333.5,475.4,1395.2,551.0,0.183
3005,player,679.5,466.6,731.6,582.6,0.168
3005,player,945.7,526.9,997.5,659.3,0.134
3005,player,1314.1,756.8,1417.9,916.1,0.133
3005,player,683.4,511.8,737.3,625.0,0.117
3005,player,1287.0,611.7,1471.8,942.3,0.105
3006,player,1119.8,638.4,1236.0,825.8,0.777
3006,player,1073.9,848.3,1256.0,982.3,0.697
3006,player,558.2,682.5,652.8,902.6,0.689
3006,player,1168.2,395.6,1219.7,538.9,0.656
3006,player,886.9,776.1,957.0,988.6,0.647
3006,player,1380.6,608.5,1478.3,766.7,0.633
3006,player,1041.6,263.1,1087.3,371.9,0.508
3006,player,683.5,467.2,742.5,622.7,0.442
3006,player,1327.4,475.9,1400.5,620.0,0.413
3006,player,954.1,967.9,1005.3,1079.1,0.397
3006,player,946.4,489.1,1002.3,594.0,0.37
3006,player,423.8,506.5,505.9,678.3,0.316
3006,player,684.5,466.3,737.7,565.1,0.235
3006,player,914.4,609.8,970.7,744.2,0.191
3006,player,695.6,559.9,733.3,624.5,0.161
3006,player,689.3,533.4,741.0,625.8,0.138
3006,player,1296.5,612.0,1476.0,939.1,0.135
3006,player,1300.7,758.6,1424.6,936.8,0.113
